Module                  Size  Used by
mcd_panel_samsung_drv    94208  0 
mcd_panel_samsung_helper    16384  1 mcd_panel_samsung_drv
exynos_drm           1011712  5 snd_soc_dp_dma,scaler,tuihw,mcd_panel_samsung_drv
samsung_dma_heap      212992  27 
dp_ext_func            94208  1 exynos_drm
repeater               36864  2 exynos_mfc,exynos_drm
mcd_panel             454656  5 mcd_panel_s6e3fac_rainbow_r0,nanohub,sec_common_fn,mcd_panel_samsung_helper,exynos_drm
i2c_exynos5            45056  0 
dev_ril_bridge         20480  3 fimc_is,cnss_utils,mcd_panel
sec_input_notifier     16384  2 stm_ts_spi,mcd_panel
samsung_secure_iova    16384  2 exynos_mfc,samsung_dma_heap
samsung_iommu          49152  33 
samsung_iommu_group    16384  0 
exyswd_rng             16384  0 
exynos_tty             90112  1 btpower
s2mpm07_regulator      24576  0 
s2mpb03                24576  0 
s2mpb02_regulator      20480  0 
s2mpb02_mfd            20480  2 leds_s2mpb02,s2mpb02_regulator
exynos_mif_profiler    16384  0 [permanent]
exynos_gpu_profiler    16384  0 [permanent]
exynos_cpu_profiler    24576  0 [permanent]
exynos_main_profiler    45056  4 exynos_drm,exynos_mif_profiler,exynos_gpu_profiler,exynos_cpu_profiler,[permanent]
exynos_profiler_fn     28672  3 exynos_mif_profiler,exynos_gpu_profiler,exynos_cpu_profiler
hdcp2                  86016  1 exynos_drm
secmem                 20480  0 
exynos_ppmpu           16384  0 
exynos_tzasc           16384  0 
exynos_seclog          16384  0 
exynos_sdm             16384  0 [permanent]
exynos_cm              28672  0 
exynos_seh             20480  1 exynos_cm,[permanent]
exynos_ssp             28672  0 
exynos_bcm            102400  0 
gnssif                 69632  0 
gnss_mbox              28672  1 gnssif
cpif                  385024  0 
exynos_cpif_iommu      32768  1 cpif,[permanent]
hook                   16384  1 cpif
direct_dm              40960  1 cpif
usb_f_dm               28672  1 direct_dm
cpif_page              20480  1 cpif
mcu_ipc                40960  2 cpif,direct_dm
xperf                  90112  1 exynos_drm
exynos_afm             32768  1 xperf
s2mps26_regulator      53248  5 exynos_afm
s2mps25_regulator      73728  20 sec_pm_debug,s2mps25_key,exynos_afm
exynos_ufcc            32768  1 xperf
exynos_acme            49152  3 sec_bootstat,exynos_dsufreq,tzdev
sec_pm_cpufreq         16384  2 rtc_s2mps25,exynos_acme
exynos_devfreq         57344  4 npu,exynos_drm,exynos_mif_profiler,xperf
exynos_wow             24576  1 exynos_devfreq
sgpu                 4247552  6 gpu_cooling,exynos_drm,exynos_gpu_profiler,exynos_cpu_profiler,exynos_main_profiler,xperf
hwmon                  40960  1 sgpu
gpu_sched              49152  1 sgpu
s2mps25_mfd            28672  37 rtc_s2mps25,s2mps25_regulator
exynos_bts             36864  8 npu,scaler,exynos_mfc,fimc_is,exynos_drm,exynos_main_profiler,cpif,sgpu,[permanent]
exynos_btsops9925      28672  1 exynos_bts
exynos_thermal        110592  10 sec_bootstat,exynos_amb_control,gpu_cooling,exynos_mfc,fimc_is,exynos_profiler_fn,xperf,exynos_acme,exynos_devfreq,sgpu
freq_qos_tracer        16384  12 npu,fimc_is,ufs_exynos_core,exynos_main_profiler,cpif,xperf,exynos_afm,exynos_ufcc,exynos_acme,sec_pm_cpufreq,sgpu,exynos_thermal
exynos_cpuhp           16384  1 exynos_amb_control
exynos_mcinfo          20480  2 exynos_amb_control,exynos_thermal,[permanent]
exynos_dm              28672  4 exynos_dsufreq,exynos_main_profiler,exynos_acme,exynos_devfreq
exynos_pm              24576  0 [permanent]
usi_v2                 20480  0 
plugin_dbg             16384  0 
exynos_pd_dbg          20480  0 [permanent]
exynos_ssld            16384  0 
ehld                   28672  1 sec_debug_hardlockup_info
exynos_adv_tracer_s2d    16384  0 
hardlockup_watchdog    20480  3 sec_debug_hardlockup_info,sec_debug,ehld
exynos_ecc_handler     20480  0 
debug_snapshot_qd      20480  0 
debug_snapshot_sfrdump    20480  0 
exynos_pd              16384  4 exynos_drm,exynos_bcm,exynos_devfreq,debug_snapshot_sfrdump
dwc3_exynos_usb        73728  5 usb_notifier,xhci_exynos,exynos_drm,exynos_pm,exynos_pd
exynos_usb_audio_offloading    32768  2 xhci_exynos,dwc3_exynos_usb
usb_f_ss_mon_gadget    28672  1 dwc3_exynos_usb
snd_soc_samsung_vts   167936  2 snd_soc_samsung_slif,exynos_pd
snd_soc_samsung_vts_mailbox    32768  1 snd_soc_samsung_vts
snd_soc_samsung_abox  4141056  7 rainbow_prince,snd_soc_samsung_slif,cpif,exynos_devfreq,exynos_thermal,exynos_pd,exynos_usb_audio_offloading
imgloader              16384  6 npu,nanohub,exynos_mfc,sgpu,snd_soc_samsung_vts,snd_soc_samsung_abox,[permanent]
sysevent               32768  4 nanohub,exynos_mfc,snd_soc_samsung_vts,snd_soc_samsung_abox,[permanent]
sysevent_notif         16384  2 exynos_mfc,sysevent
sec_audio_sysfs        40960  2 snd_soc_cirrus_amp,snd_soc_samsung_abox
shm_ipc                28672  3 cpif,direct_dm,snd_soc_samsung_abox
cpif_memlogger         16384  5 cpif,direct_dm,cpif_page,mcu_ipc,shm_ipc
memlogger              61440  24 npu,nanohub,is_flash_s2mpb02_i2c,is_actuator_ak737x,is_cis_imx374,is_cis_gn3,is_cis_2ld,is_cis_2la,is_cis_3k1,is_cis_3j1,exynos_mfc,fimc_is,ufs_exynos_core,mcd_panel_samsung_drv,exynos_drm,samsung_dma_heap,cpif,direct_dm,cpif_page,mcu_ipc,snd_soc_samsung_vts,snd_soc_samsung_abox,shm_ipc,cpif_memlogger,[permanent]
exynos_sci             49152  9 npu,exynos_amb_control,exynos_mfc,fimc_is,exynos_mif_profiler,exynos_main_profiler,cpif,sgpu,snd_soc_samsung_abox,[permanent]
sec_audio_debug        32768  1 snd_soc_samsung_abox
snd_soc_samsung_abox_gic    28672  1 snd_soc_samsung_abox
